step,action_direction,action_tp_mult,position,balance,equity,max_drawdown_pct
104,-0.2580608,-0.026195884,-1,9999.9,9996.329988753652,0.0367
105,-0.23706138,0.0497756,0,9948.287837409975,9948.287837409975,0.5171
106,-0.248725,-0.023799539,0,9948.287837409975,9948.287837409975,0.5171
107,-0.21263188,-0.0047009587,0,9948.287837409975,9948.287837409975,0.5171
180,-0.2235992,-0.14621979,0,9948.287837409975,9948.287837409975,0.5171
183,-0.20155263,-0.14277738,0,9948.287837409975,9948.287837409975,0.5171
309,-0.2265107,-0.010716498,0,9948.287837409975,9948.287837409975,0.5171
329,0.20443654,0.037821293,0,9948.287837409975,9948.287837409975,0.5171
330,0.23850274,0.016954184,0,9948.287837409975,9948.287837409975,0.5171
378,0.38955808,0.08208823,1,9948.187837409974,9945.993603022334,0.5401
382,0.2566396,0.06008053,1,9948.187837409974,9975.688908401706,0.2431
406,0.23419666,0.0411973,0,9870.679119850445,9870.679119850445,1.4457
407,0.33997452,0.07529676,1,9870.579119850445,9868.009516647171,1.4724
436,0.22464216,-0.14292443,0,9803.463531422114,9803.463531422114,2.1169
754,0.2794628,0.018372774,1,9803.363531422114,9801.025710467933,2.1412
755,0.32490838,-0.008215249,1,9803.363531422114,9801.64912938905,2.135
756,-0.26097167,-0.26397133,0,9913.95839084408,9913.95839084408,1.0136
777,-0.21111894,-0.10149068,0,9913.95839084408,9913.95839084408,1.0136
782,-0.22608662,-0.029371142,0,9913.95839084408,9913.95839084408,1.0136
893,0.236153,0.043485165,0,9913.95839084408,9913.95839084408,1.0136
894,0.22316027,0.053286314,0,9913.95839084408,9913.95839084408,1.0136
916,-0.2702607,-0.22287464,-1,9913.85839084408,9910.319622398532,1.05
917,-0.24078476,-0.21859449,-1,9913.85839084408,9961.985641703493,0.5341
918,0.2736932,0.031493545,-1,9913.85839084408,9964.34482066719,0.5105
922,0.29054618,0.07515895,-1,9913.85839084408,9955.144022708773,0.6024
1154,-0.23385453,-0.12035465,0,9860.27132581154,9860.27132581154,1.5497
1254,-0.2015922,-0.06394929,0,9860.27132581154,9860.27132581154,1.5497
1259,-0.20118892,-0.13744318,0,9860.27132581154,9860.27132581154,1.5497
1277,-0.24250835,-0.25882745,0,9860.27132581154,9860.27132581154,1.5497
1278,-0.2356149,-0.2664706,0,9860.27132581154,9860.27132581154,1.5497
1279,-0.50187147,-0.20383042,-1,9860.17132581154,9853.4754259748,1.6175
1280,-0.40919226,-0.20324415,-1,9860.17132581154,9795.890687378871,2.1925
1359,-0.24954563,-0.035202682,0,10037.94142018473,10037.94142018473,0.0
1360,-0.2431668,-0.0007709861,0,10037.94142018473,10037.94142018473,0.0
1361,-0.23473155,-0.01765132,0,10037.94142018473,10037.94142018473,0.0
1363,-0.20270163,0.00059342384,0,10037.94142018473,10037.94142018473,0.0
1364,-0.21251297,-0.06285995,0,10037.94142018473,10037.94142018473,0.0
1554,0.20188999,0.03549075,0,10037.94142018473,10037.94142018473,0.0
1555,0.26395822,0.043473244,1,10037.84142018473,10036.053452985472,0.0188
1556,0.29535902,0.049369574,1,10037.84142018473,10044.278102102055,0.0
1557,0.21176541,0.09527898,1,10037.84142018473,10033.669496719795,0.1056
1759,-0.2218675,-0.14846814,0,10146.12903606832,10146.12903606832,0.0
1761,-0.20914155,-0.1364345,0,10146.12903606832,10146.12903606832,0.0
1907,-0.2044465,-0.086804986,0,10146.12903606832,10146.12903606832,0.0
1908,-0.20354229,-0.116405904,0,10146.12903606832,10146.12903606832,0.0
1910,-0.20063221,-0.11021942,0,10146.12903606832,10146.12903606832,0.0
1932,-0.22864139,-0.16128814,0,10146.12903606832,10146.12903606832,0.0
1970,-0.25008714,-0.120583415,-1,10146.02903606832,10141.605146930013,0.0446
1971,-0.25013357,-0.09348142,-1,10146.02903606832,10109.753145134217,0.3585
1972,-0.45199978,-0.6995435,-1,10146.02903606832,10145.439184183206,0.0068
1973,-0.4274323,-0.49626708,-1,10146.02903606832,10149.863073321512,0.0
1974,-0.55131847,-0.519112,0,10241.406285855788,10241.406285855788,0.0
1983,-0.23572284,-0.113435626,0,10241.406285855788,10241.406285855788,0.0
1984,-0.20715678,-0.11607611,0,10241.406285855788,10241.406285855788,0.0
2140,0.21971178,-0.035403132,0,10241.406285855788,10241.406285855788,0.0
2141,0.3901056,0.028494477,1,10241.306285855788,10236.712810360244,0.0458
2180,0.21635747,0.031255484,0,10403.392325521574,10403.392325521574,0.0
2181,0.24028099,0.009904623,0,10403.392325521574,10403.392325521574,0.0
2182,0.21669984,0.023949504,0,10403.392325521574,10403.392325521574,0.0
2184,-0.2809891,-0.10512942,-1,10403.292325521574,10400.039117304097,0.0322
2187,-0.27659595,0.0712024,-1,10403.292325521574,10397.870311825776,0.3098
2428,0.2537347,0.03557706,1,10513.975553273294,10511.352115967678,0.0259
2429,0.2360841,0.04343593,1,10513.975553273294,10488.090971857908,0.2471
2665,0.24116957,-0.030248284,0,10460.619835500554,10460.619835500554,0.7238
2812,0.21499228,0.03569913,0,10460.619835500554,10460.619835500554,0.7238
2813,0.27508557,0.038634658,1,10460.519835500554,10458.107505096372,0.7477
2814,0.27638972,0.038313508,0,10402.968524429389,10402.968524429389,1.2709
2856,-0.2571752,-0.09106207,-1,10402.868524429388,10399.898231154866,1.3001
2860,-0.3634392,0.099812865,-1,10402.868524429388,10414.749697527464,1.1591
2861,-0.31062007,0.047559142,-1,10402.868524429388,10436.13580910401,0.9562
2864,0.22825623,0.095256686,-1,10402.868524429388,10438.314024171988,0.9355
3011,0.24153316,0.03492415,0,10505.011424902397,10505.011424902397,0.3025
3012,0.2500658,0.035712123,1,10504.911424902397,10502.722739062929,0.3242
3013,0.27821493,0.03869021,0,10452.372542441652,10452.372542441652,0.8021
3014,0.24107802,0.03757131,0,10452.372542441652,10452.372542441652,0.8021
